Notes,"Auto (only x, y and -1 will be used)",Main catego,Sub catego name,sub gatego acrynom,Four letter name,"Tail, chain B (GL2, sn-1)","Tail, chain A (GL1, sn-2)","Tail, chain C (only used in TAG)",tail name,Common name,"Description (e.g. mapped structure, example of underlying AA names)",Keywords,Parameterization,Ref(s),Created,Author(s),Modified,Ref area per lipid (nm^2),Warninigs/Notes,,Generator -alhead,Generator -allink,Generator -altail,Sim setup -charge,General notes
,-1,martini_v3.0_ILs_MC3H_dev_v1.itp,MC3 headgroup IL - Charged,Collection of Ionizable Martini 3 lipids with a MC3 headgroup - charged,,,,,,,,,,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",,Lisbeth Ravnkilde,22-Jan-2023 by Lisbeth,,,,,,,,
,x,MP,MC3 headgroup IL - Charged,MP,DLMP,CCC,CCC,,di-C14:0,di-C14:0,MC3 headgroup IL - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",2023.01.22,,,,,,MP,,CCC CCC,1,
,x,MP,MC3 headgroup IL - Charged,MP,DSMP,CCCC,CCCC,,di-C18:0,di-C18:0,MC3 headgroup IL - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-4",2023.01.23,,,,,,MP,,CCCC CCCC,1,
,x,MP,MC3 headgroup IL - Charged,MP,DBMP,CCCCC,CCCCC,,di-C22:0,di-C22:0,MC3 headgroup IL - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-5",2023.01.24,,,,,,MP,,CCCCC CCCCC,1,
,x,MP,MC3 headgroup IL - Charged,MP,DOMP,CDCC,CDCC,,di-C18:1,di-C18:1,MC3 headgroup IL - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-6",2023.01.25,,,,,,MP,,CDCC CDCC,1,
,x,MP,MC3 headgroup IL - Charged,MP,DVMP,CCDC,CCDC,,di-C18:1,di-C18:1,MC3 headgroup IL - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-7",2023.01.26,,,,,,MP,,CCDC CCDC,1,
,x,MP,MC3 headgroup IL - Charged,MP,DEMP,CCDCC,CCDCC,,di-C22:1,di-C22:1  (DEMP),MC3 headgroup IL - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-9",2023.01.28,,,,,,MP,,CCDCC CCDCC,1,
,x,MP,MC3 headgroup IL - Charged,MP,DNMP,CCCDCC,CCCDCC,,di-C24:1,di-C24:1 Collection of Ionizable Martini 3 lipids  (DNMP),MC3 headgroup IL - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-10",2023.01.29,,,,,,MP,,CCCDCC CCCDCC,1,
,x,MP,MC3 headgroup IL - Charged,MP,SOMP,CCCC,CDCC,,C18:0/18:1,C18:0/18:1,MC3 headgroup IL - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-11",2023.01.30,,,,,,MP,,CCCC CDCC,1,
,x,MP,MC3 headgroup IL - Charged,MP,SLMP,CCCC,CDDC,,C18:0/18:2,C18:0/18:2,MC3 headgroup IL - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-12",2023.01.31,,,,,,MP,,CCCC CDDC,1,
,x,MP,MC3 headgroup IL - Charged,MP,OLMP,CDCC,CDDC,,C18:1/18:2,C18:1/18:2,MC3 headgroup IL - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-13",2023.01.32,,,,,,MP,,CDCC CDDC,1,
,x,MP,MC3 headgroup IL - Charged,MP,OEMP,CDCC,CCDCC,,C18:1/22:1,C18:1/22:1,MC3 headgroup IL - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-14",2023.01.33,,,,,,MP,,CDCC CCDCC,1,
,x,MP,MC3 headgroup IL - Charged,MP,LFMP,CDDC,CDDD,,C18:2/18:3,C18:2/18:3,MC3 headgroup IL - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,MP,,CDDC CDDD,1,
,x,MP,MC3 headgroup IL - Charged,MP,DUMP,CDDC,CDDC,,C18:2/18:3,C18:2/18:3,MC3 headgroup IL - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,MP,,CDDC CDDC,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,
,-1,martini_v3.0_ILs_KC1_dev_v1.itp,IL with KC1 headgroup - neutral,Collection of Ionizable Martini 3 lipids,,,,,,,,,,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",,Lisbeth Ravnkilde,22-Jan-2023 by Lisbeth,,,,,,,,
,x,B1,IL with KC1 headgroup - neutral,B1,DLB1,CCC,CCC,,di-C14:0,di-C14:0,IL with KC1 headgroup - neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",2023.01.22,,,,,,B1,,CCC CCC,0,
,x,B1,IL with KC1 headgroup - neutral,B1,DSB1,CCCC,CCCC,,di-C18:0,di-C18:0,IL with KC1 headgroup - neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-4",2023.01.23,,,,,,B1,,CCCC CCCC,0,
,x,B1,IL with KC1 headgroup - neutral,B1,DBB1,CCCCC,CCCCC,,di-C22:0,di-C22:0,IL with KC1 headgroup - neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-5",2023.01.24,,,,,,B1,,CCCCC CCCCC,0,
,x,B1,IL with KC1 headgroup - neutral,B1,DOB1,CDCC,CDCC,,di-C18:1,di-C18:1,IL with KC1 headgroup - neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-6",2023.01.25,,,,,,B1,,CDCC CDCC,0,
,x,B1,IL with KC1 headgroup - neutral,B1,DVB1,CCDC,CCDC,,di-C18:1,di-C18:1,IL with KC1 headgroup - neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-7",2023.01.26,,,,,,B1,,CCDC CCDC,0,
,x,B1,IL with KC1 headgroup - neutral,B1,DEB1,CCDCC,CCDCC,,di-C22:1,di-C22:1  (DEB1),IL with KC1 headgroup - neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-9",2023.01.28,,,,,,B1,,CCDCC CCDCC,0,
,x,B1,IL with KC1 headgroup - neutral,B1,DNB1,CCCDCC,CCCDCC,,di-C24:1,di-C24:1 Collection of Ionizable Martini 3 lipids with a KC1 headgroup (DNB1),IL with KC1 headgroup - neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-10",2023.01.29,,,,,,B1,,CCCDCC CCCDCC,0,
,x,B1,IL with KC1 headgroup - neutral,B1,SOB1,CCCC,CDCC,,C18:0/18:1,C18:0/18:1,IL with KC1 headgroup - neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-11",2023.01.30,,,,,,B1,,CCCC CDCC,0,
,x,B1,IL with KC1 headgroup - neutral,B1,SLB1,CCCC,CDDC,,C18:0/18:2,C18:0/18:2,IL with KC1 headgroup - neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-12",2023.01.31,,,,,,B1,,CCCC CDDC,0,
,x,B1,IL with KC1 headgroup - neutral,B1,OLB1,CDCC,CDDC,,C18:1/18:2,C18:1/18:2,IL with KC1 headgroup - neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-13",2023.01.32,,,,,,B1,,CDCC CDDC,0,
,x,B1,IL with KC1 headgroup - neutral,B1,OEB1,CDCC,CCDCC,,C18:1/22:1,C18:1/22:1,IL with KC1 headgroup - neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-14",2023.01.33,,,,,,B1,,CDCC CCDCC,0,
,x,B1,IL with KC1 headgroup - neutral,B1,LFB1,CDDC,CDDD,,C18:2/18:3,C18:2/18:3,IL with KC1 headgroup - neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,B1,,CDDC CDDD,0,
,x,B1,IL with KC1 headgroup - neutral,B1,DUB1,CDDC,CDDC,,C18:2/18:3,C18:2/18:3,IL with KC1 headgroup - neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,B1,,CDDC CDDC,0,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,
,-1,martini_v3.0_ILs_KC1H_dev_v1.itp,IL with KC1 headgroup - Charged,Collection of Ionizable Martini 3 lipids with a KC1 headgroup,,,,,,,,,,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",,Lisbeth Ravnkilde,22-Jan-2023 by Lisbeth,,,,,,,,
,x,BP,IL with KC1 headgroup - Charged,BP,DLBP,CCC,CCC,,di-C14:0,di-C14:0,IL with KC1 headgroup - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",2023.01.22,,,,,,BP,,CCC CCC,1,
,x,BP,IL with KC1 headgroup - Charged,BP,DSBP,CCCC,CCCC,,di-C18:0,di-C18:0,IL with KC1 headgroup - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-4",2023.01.23,,,,,,BP,,CCCC CCCC,1,
,x,BP,IL with KC1 headgroup - Charged,BP,DBBP,CCCCC,CCCCC,,di-C22:0,di-C22:0,IL with KC1 headgroup - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-5",2023.01.24,,,,,,BP,,CCCCC CCCCC,1,
,x,BP,IL with KC1 headgroup - Charged,BP,DOBP,CDCC,CDCC,,di-C18:1,di-C18:1,IL with KC1 headgroup - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-6",2023.01.25,,,,,,BP,,CDCC CDCC,1,
,x,BP,IL with KC1 headgroup - Charged,BP,DVBP,CCDC,CCDC,,di-C18:1,di-C18:1,IL with KC1 headgroup - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-7",2023.01.26,,,,,,BP,,CCDC CCDC,1,
,x,BP,IL with KC1 headgroup - Charged,BP,DEBP,CCDCC,CCDCC,,di-C22:1,di-C22:1  (DEBP),IL with KC1 headgroup - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-9",2023.01.28,,,,,,BP,,CCDCC CCDCC,1,
,x,BP,IL with KC1 headgroup - Charged,BP,DNBP,CCCDCC,CCCDCC,,di-C24:1,di-C24:1 Collection of Ionizable Martini 3 lipids with a KC2 headgroup - neutral (DNBP),IL with KC1 headgroup - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-10",2023.01.29,,,,,,BP,,CCCDCC CCCDCC,1,
,x,BP,IL with KC1 headgroup - Charged,BP,SOBP,CCCC,CDCC,,C18:0/18:1,C18:0/18:1,IL with KC1 headgroup - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-11",2023.01.30,,,,,,BP,,CCCC CDCC,1,
,x,BP,IL with KC1 headgroup - Charged,BP,SLBP,CCCC,CDDC,,C18:0/18:2,C18:0/18:2,IL with KC1 headgroup - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-12",2023.01.31,,,,,,BP,,CCCC CDDC,1,
,x,BP,IL with KC1 headgroup - Charged,BP,OLBP,CDCC,CDDC,,C18:1/18:2,C18:1/18:2,IL with KC1 headgroup - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-13",2023.01.32,,,,,,BP,,CDCC CDDC,1,
,x,BP,IL with KC1 headgroup - Charged,BP,OEBP,CDCC,CCDCC,,C18:1/22:1,C18:1/22:1,IL with KC1 headgroup - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-14",2023.01.33,,,,,,BP,,CDCC CCDCC,1,
,x,BP,IL with KC1 headgroup - Charged,BP,LFBP,CDDC,CDDD,,C18:2/18:3,C18:2/18:3,IL with KC1 headgroup - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,BP,,CDDC CDDD,1,
,x,BP,IL with KC1 headgroup - Charged,BP,DUBP,CDDC,CDDC,,C18:2/18:3,C18:2/18:3,IL with KC1 headgroup - Charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,BP,,CDDC CDDC,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,
,-1,martini_v3.0_ILs_KC2_dev_v1.itp,KC2 headgroup IL - Neutral,Collection of Ionizable Martini 3 lipids with a KC2 headgroup - neutral,,,,,,,,,,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",,Lisbeth Ravnkilde,22-Jan-2023 by Lisbeth,,,,,,,,
,x,K2,KC2 headgroup IL - Neutral,K2,DLK2,CCC,CCC,,di-C14:0,di-C14:0,KC2 headgroup IL - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",2023.01.22,,,,,,K2,,CCC CCC,0,
,x,K2,KC2 headgroup IL - Neutral,K2,DSK2,CCCC,CCCC,,di-C18:0,di-C18:0,KC2 headgroup IL - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-4",2023.01.23,,,,,,K2,,CCCC CCCC,0,
,x,K2,KC2 headgroup IL - Neutral,K2,DBK2,CCCCC,CCCCC,,di-C22:0,di-C22:0,KC2 headgroup IL - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-5",2023.01.24,,,,,,K2,,CCCCC CCCCC,0,
,x,K2,KC2 headgroup IL - Neutral,K2,DOK2,CDCC,CDCC,,di-C18:1,di-C18:1,KC2 headgroup IL - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-6",2023.01.25,,,,,,K2,,CDCC CDCC,0,
,x,K2,KC2 headgroup IL - Neutral,K2,DVK2,CCDC,CCDC,,di-C18:1,di-C18:1,KC2 headgroup IL - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-7",2023.01.26,,,,,,K2,,CCDC CCDC,0,
,x,K2,KC2 headgroup IL - Neutral,K2,DEK2,CCDCC,CCDCC,,di-C22:1,di-C22:1  (DEK2),KC2 headgroup IL - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-9",2023.01.28,,,,,,K2,,CCDCC CCDCC,0,
,x,K2,KC2 headgroup IL - Neutral,K2,DNK2,CCCDCC,CCCDCC,,di-C24:1,di-C24:1 Collection of Ionizable Martini 3 lipids with a KC2 headgroup - Charged (DNK2),KC2 headgroup IL - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-10",2023.01.29,,,,,,K2,,CCCDCC CCCDCC,0,
,x,K2,KC2 headgroup IL - Neutral,K2,SOK2,CCCC,CDCC,,C18:0/18:1,C18:0/18:1,KC2 headgroup IL - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-11",2023.01.30,,,,,,K2,,CCCC CDCC,0,
